comments	contain_gender_bias	bias	hate	comments_clean
(현재 호텔주인 심정) 아18 난 마른하늘에 날벼락맞고 호텔망하게생겼는데 누군 계속 추모받네....	False	others	hate	현재 호텔 주인 심정 아 난 마르 하늘 벼락 맞 호텔 망하 생기 계속 추모
....한국적인 미인의 대표적인 분...너무나 곱고아름다운모습...그모습뒤의 슬픔을 미처 알지못했네요ㅠ	False	none	none	한국 미인 대표 너무나 모습 모습 뒤 슬픔 미처 알 못 하
...못된 넘들...남의 고통을 즐겼던 넘들..이젠 마땅한 처벌을 받아야지..,그래야, 공정한 사회지...심은대로 거두거라...	False	none	hate	못되 넘 남 고통 즐기 넘 이제 마땅 처벌 공정 사회 심 거두
1,2화 어설펐는데 3,4화 지나서부터는 갈수록 너무 재밌던데	False	none	none	어설프 지나 갈수록 너무 재밌
1. 사람 얼굴 손톱으로 긁은것은 인격살해이고2. 동영상이 몰카냐? 메걸리안들 생각이 없노	True	gender	hate	사람 얼굴 손톱 긁 인격 살해 동영상 몰카 메 걸리 안 들 생각 없
10+8 진짜 이승기랑 비교된다	False	none	none	진짜 이승기 비교
100년안에 남녀간 성전쟁 한번 크게 치룬 후 일부다처제, 여성의 정치참여 금지, 여성 투표권 삭제가 세계의 공통문화로 자리잡을듯. 암탉이 너무 울어댐.	True	gender	hate	안 남녀 성 전쟁 크 치루 후 일부다처 여성 정치 참여 금지 여성 투표 삭제 세계 공통 문화 자리 암탉 너무 울
10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음	False	none	none	뒤 윤서인 분명히 평가 말 하나하나 틀리 없
10년만에 재미를 느끼는 프로였는데왜 니들때문에 폐지를해야되냐	False	none	offensive	재미 느끼 프로 왜 폐지 하 되
10년차방탄팬인데 우리방탄처럼 성공은못하겠지만 일단 방탄의 부하가되고싶다는거니 이름기억은해둠ㅇㅇ	False	none	offensive	방탄 팬 방탄 성공 못 하 일단 방탄 부하 되 이름 기억 하
10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..	False	others	none	차이 넘 부부 내용 긍금
